,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
28,やはり俺の青春ラブコメはまちがっている。（TVアニメ動画）,2013年春アニメ,4.1,https://img.anikore.jp/images/anime/9/9/4/3994/3994.jpg?width=122&height=122&type=crop,千葉市立総武高等学校に通う高校2年生の比企谷八幡は幼少時から友達ができず、その結果友達を作ることをあきらめて「ぼっち」を極めようとしていたが、生活指導担当の教師、平塚静に目をつけられ、学校一の美... ▼もっと読む
29,花咲くいろは（TVアニメ動画）,2011年春アニメ,4.1,https://img.anikore.jp/images/anime/4/1/4/2414/2414.jpg?width=122&height=122&type=crop,突然の夜逃げ、突然の告白、そして突然の別れ――。今までとは違う自分になりたかったという夢は、急に現実となりました。私、松前緒花の平凡な日常は1日にしてドラマチックな展開を迎えたのです。通い慣れた... ▼もっと読む
30,となりの怪物くん（TVアニメ動画）,2012年秋アニメ,3.8,https://img.anikore.jp/images/anime/7/7/0/3770/3770.jpg?width=122&height=122&type=crop,成績にしか興味のなかった冷血女子・水谷雫は、プリントを届けたことがきっかけで問題児・吉田春に気に入られてしまう。そして、それをきっかけに雫の人間関係が著しく変わっていく。 ▼もっと読む
31,ラブライブ！school idol project（TVアニメ動画）,2013年冬アニメ,3.9,https://img.anikore.jp/images/anime/9/2/3/3923/3923.jpg?width=122&height=122&type=crop,進化し続ける最新カルチャーの街・秋葉原と、歴史と伝統の街・神田、そして静かな大人の本の街・神保町のあいだに、まるでエアポケットのようにポカリと空いた、人影もまばらなその街の中心に、古くからある伝... ▼もっと読む
32,ReLIFE（TVアニメ動画）,2016年夏アニメ,3.8,https://img.anikore.jp/images/anime/1/5/5/9155/9155.jpg?width=122&height=122&type=crop,"海崎新太(27歳)は、新卒として入社した会社を3ヶ月で退職。
その後の就活もうまく行かず、親からの仕送りも打ち切られ田舎に戻ることを迫られる。
悩みを打ち明けられる友達も彼女... ▼もっと読む"
33,ゲーマーズ！（TVアニメ動画）,2017年夏アニメ,3.6,https://img.anikore.jp/images/anime/9/6/1/10961/10961.jpg?width=122&height=122&type=crop,ゲーム好きで“ぼっち”な高校生・雨野景太、学園一の美少女でゲーム部の部長・天道花憐、景太と犬猿の仲の星ノ守千秋、“リア充”だが実はゲーム好きの一面もある上原裕ら個性的なゲーマーの青春を描いたラブ... ▼もっと読む
34,クロムクロ（TVアニメ動画）,2016年春アニメ,3.6,https://img.anikore.jp/images/anime/2/9/9/10299/10299.jpg?width=122&height=122&type=crop,"ダム建設時に偶然発見された謎の遺物、アーティファクトの研究を行うために設立された国際連合黒部研究所。
世界各国の頭脳が集う研究所員の子女が通う立山国際高校には、研究所の娘、白羽由希奈も通ってい... ▼もっと読む"
35,orange（TVアニメ動画）,2016年夏アニメ,3.3,https://img.anikore.jp/images/anime/4/4/5/10445/10445.jpg?width=122&height=122&type=crop,長野県松本市に住む女子高校生・高宮菜穂は2年生になった4月の始業式の日、差出人が自分の名前になっている手紙を受け取る。その手紙には、26歳になった10年後の自分が後悔をしていて、その後悔を16歳... ▼もっと読む
36,妹さえいればいい。（TVアニメ動画）,2017年秋アニメ,3.6,https://img.anikore.jp/images/anime/2/0/0/11200/11200.jpg?width=122&height=122&type=crop,"「妹さえいれば人生は常に最高なのに、 なぜ俺には妹がいないのか……」

妹モノの作品ばかりを書き続けている妹バカの小説家・羽島伊月の周囲には、 天才作家にして変態の可児那由多、 女子大生の白... ▼もっと読む"
37,タッチ（TVアニメ動画）,1985年春アニメ,3.8,https://img.anikore.jp/51eUd3rm7qL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,上杉達也､上杉和也は一卵性双生児｡ｽﾎﾟｰﾂも勉強も真剣に取り組む弟の和也に対して､何事にもいい加減な兄の達也｡そして隣に住む同い年の浅倉南｡3人は小さい時から一緒に行動している､いわば幼馴染だ... ▼もっと読む
