,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
27,恋愛暴君（TVアニメ動画）,2017年春アニメ,3.3,https://img.anikore.jp/images/anime/3/6/7/10367/10367.jpg?width=122&height=122&type=crop,"ある日突然、男子高校生・藍野青司のもとに任意の二人を強制的にキスさせるという
不思議アイテム「キスノート」を持った死神風の少女・グリが現れ、
“24時間以内にキスしないと書いた者(グ... ▼もっと読む"
28,魔法陣グルグル（TVアニメ動画）,1994年秋アニメ,3.7,https://img.anikore.jp/images/anime/2/1/2/212/212.jpg?width=122&height=122&type=crop,壮大なストーリーにちりばめられたギャグ、可愛くてとぼけたキャラクターで人気を集めた衛藤ヒロユキのヒットコミック『魔法陣グルグル』のＴＶシリーズ第２弾。第１弾はコミックと同名で1994年に放映さ... ▼もっと読む
29,つぐもも（TVアニメ動画）,2017年春アニメ,3.3,https://img.anikore.jp/images/anime/8/6/5/10865/10865.jpg?width=122&height=122&type=crop,"ごく平凡な少年・加賀見かずやは、ある日現れた着物姿の美少女、桐葉と出会う。
初めて出会ったはずのかずやに「久しいのう」と声をかける桐葉。
はたしてその正体は、かずやが亡き母の形見として、片時... ▼もっと読む"
30,俺の妹がこんなに可愛いわけがない。 (第2期)（TVアニメ動画）,2013年春アニメ,3.9,https://img.anikore.jp/images/anime/7/1/1/3711/3711.jpg?width=122&height=122&type=crop,"平凡で穏やかな日々を過ごしていた男子高校生・高坂京介。
だが、彼の日常は妹・桐乃の「人生相談」で急変する。

人生勝ち組でリア充な桐乃は、実はアニメやゲームが大好きな
オタク趣味の持ち主... ▼もっと読む"
31,たまこまーけっと（TVアニメ動画）,2013年冬アニメ,3.7,https://img.anikore.jp/images/anime/9/4/4/3944/3944.jpg?width=122&height=122&type=crop,"餅屋の娘、たまこは餅が大好きな高校1年生。
学校ではバドミントン部に所属、友人らと部活動に励みながらも、家の手伝いと新作餅の開発にいそしんでいる。
向かいにはライバルの餅屋があり、その息子・... ▼もっと読む"
32,有頂天家族（TVアニメ動画）,2013年夏アニメ,3.9,https://img.anikore.jp/images/anime/5/5/8/7558/7558.jpg?width=122&height=122&type=crop,京都には人間と狸と天狗が住んでいる。下鴨神社・糺(ただす)ノ森に暮らす下鴨家。狸界の頭領であった父・総一郎は、ある日何の前触れもなく狸鍋にされたのだが、その経緯は今も謎に包まれて... ▼もっと読む
33,貧乏神が！（TVアニメ動画）,2012年夏アニメ,3.7,https://img.anikore.jp/images/anime/7/4/2/3742/3742.jpg?width=122&height=122&type=crop,才色兼備だがタカビーで自分勝手な超絶ラッキーガールの市子と、その彼女に取り憑いた脱力系の貧乏神・紅葉。幸か不幸はふたりは出会ってしまった!! 愛も友情も信じない孤独な女子高生の市子は、様々な出会... ▼もっと読む
34,血界戦線（TVアニメ動画）,2015年春アニメ,3.8,https://img.anikore.jp/images/anime/1/8/7/8187/8187.jpg?width=122&height=122&type=crop,"異界（ビヨンド）と人界とが交差する変わり果てたニューヨーク、「ヘルサレムズ・ロット」。深い霧に閉ざされ、様々な勢力と様々な種族がせめぎあう危うい均衡の上に浮かぶ街。
クラウス率いる「秘密結社... ▼もっと読む"
35,だがしかし（TVアニメ動画）,2016年冬アニメ,3.5,https://img.anikore.jp/images/anime/1/4/2/10142/10142.jpg?width=122&height=122&type=crop,"家業の駄菓子屋を継ぎたくない鹿田ココノツは夏休みのある日、駄菓子マニアの不思議な美少女・ほたるに出会う。
実在の駄菓子とともに少年×少女のおかしな夏が今始まる!
美味し懐かし駄菓子コメデ... ▼もっと読む"
36,LEVEL E [レベルイー]（TVアニメ動画）,2011年冬アニメ,3.7,https://img.anikore.jp/images/anime/4/1/3/2413/2413.jpg?width=122&height=122&type=crop,高校進学に伴って山形で一人暮らしを始めることになった筒井雪隆は、引っ越したその日に自分より先に自分の部屋で勝手に生活している記憶喪失の宇宙人を自称する男に出会う。追い出そうとする雪隆だが、男に言... ▼もっと読む
37,へヴィーオブジェクト（TVアニメ動画）,2015年秋アニメ,3.5,https://img.anikore.jp/images/anime/3/3/9/8339/8339.jpg?width=122&height=122&type=crop,"鎌池和馬10周年プロジェクトの１つ。

戦争のあり方を変えてしまうほど強力な超大型兵器“オブジェクト”が存在する未来の世界を舞台にしたアクション作品。

オブジェクトの設計士を志す戦地派... ▼もっと読む"
38,ゲーマーズ！（TVアニメ動画）,2017年夏アニメ,3.6,https://img.anikore.jp/images/anime/9/6/1/10961/10961.jpg?width=122&height=122&type=crop,ゲーム好きで“ぼっち”な高校生・雨野景太、学園一の美少女でゲーム部の部長・天道花憐、景太と犬猿の仲の星ノ守千秋、“リア充”だが実はゲーム好きの一面もある上原裕ら個性的なゲーマーの青春を描いたラブ... ▼もっと読む
39,武装少女マキャヴェリズム（TVアニメ動画）,2017年春アニメ,3.4,https://img.anikore.jp/images/anime/7/6/6/10766/10766.jpg?width=122&height=122&type=crop,"自由を愛する高校生・納村不道が転校してきた愛地共生学園では、護身の名目で武装した女子達による無慈悲な男子支配が行われていた!
男子は女子との「共生」の名のもとに、男を捨てて生活することを「強... ▼もっと読む"
40,ガーリッシュ ナンバー（TVアニメ動画）,2016年秋アニメ,3.5,https://img.anikore.jp/images/anime/4/1/1/10411/10411.jpg?width=122&height=122&type=crop,"かわいい外見と世を舐めきったメンタルを持つ女子大生・烏丸千歳。
夢と希望と野心を抱いて踏み込んだ声優業界で、彼女が目にしたのは、おかしな業界のシビアな現実の数々だった――。
仕事なし×やる気... ▼もっと読む"
41,徒然チルドレン（TVアニメ動画）,2017年夏アニメ,3.6,https://img.anikore.jp/images/anime/0/9/0/11090/11090.jpg?width=122&height=122&type=crop,"本作は、どこにでもいる様な、ごく普通の高校生たちが、
恋に燃えたり、揺れたり、悩んだり、
笑ったり、泣いたり、傷ついたり、
うまくいったり、いかなかったりしながらも、
かけがえのない青春... ▼もっと読む"
42,うる星やつら（TVアニメ動画）,1981年秋アニメ,3.9,https://img.anikore.jp/417P1914T0L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,世にラプコメブームを巻き起こした高橋留美子の代表作を、押井守ら才気ほとばしる若手スタッフが自由闊達に映像化。地球をかけた鬼ごっこに勝利したものの、勘違いから異星人の娘ラムにベタ惚れされてしまった... ▼もっと読む
43,クロックワーク・プラネット（TVアニメ動画）,2017年春アニメ,3.2,https://img.anikore.jp/images/anime/3/2/1/10321/10321.jpg?width=122&height=122&type=crop,"――唐突だが。世界はとっくに滅亡している。
1000年前に一度滅んだ地球を「Y」と名乗る伝説の時計技師が時計仕掛けで再構築した世界。
落ちこぼれの高校生・見浦ナオトは、「Y」が残した自動人形... ▼もっと読む"
44,信長の忍び（TVアニメ動画）,2016年秋アニメ,3.7,https://img.anikore.jp/images/anime/4/6/6/10466/10466.jpg?width=122&height=122&type=crop,"1555年──
世はまさに戦国の時代!! ひとりの青年がでっかい夢を抱いていた。
うつけと呼ばれる彼こそ後の…、そう、織田信長である。
そんな青年を慕う少女がひとり。
信長の夢に魅せられ... ▼もっと読む"
45,ありすorありす（TVアニメ動画）,2018年春アニメ,3.1,https://img.anikore.jp/images/anime/4/8/3/11483/11483.jpg?width=122&height=122&type=crop,"双子のりせとあいり、そしてちょっとシスコンなお兄さんのほんわかした日常を描いたコメディ作品。

ごはんを食べたり、ケンカをしたり、お友達と遊んだり……。キュートなありすのハートフルな日常をち... ▼もっと読む"
46,西荻窪駅徒歩20分2LDK敷礼2ヶ月ペット不可（Webアニメ）,2014年12月12日,3.6,https://img.anikore.jp/images/anime/7/3/8/8738/8738.jpg?width=122&height=122&type=crop,"ドワンゴとカラーの短編映像シリーズ企画「日本アニメ（ーター）見本市」の第6話。


いつもの部屋のソファの上で目を覚ましたリカ。

ふとした違和感に気付く・・・

駅から少し離れた... ▼もっと読む"
47,gdメン gdgd men's party（TVアニメ動画）,2018年冬アニメ,3.0,https://img.anikore.jp/images/anime/5/3/8/11538/11538.jpg?width=122&height=122&type=crop,"深夜のお茶の間を、そして劇場までもユル～い話題で騒がせた「gdgd妖精s」が『gdメン』としてテレビアニメに帰還！

1日の終わりに「ときめき×ユルさ」がクセになる…“笑いで癒す”夜のワンパ... ▼もっと読む"
