,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
26,アウトブレイク・カンパニー 萌える侵略者（TVアニメ動画）,2013年秋アニメ,3.8,https://img.anikore.jp/images/anime/6/2/7/7627/7627.jpg?width=122&height=122&type=crop,異世界交易の切り札は『萌え』だった!? 高校中退状態の慎一が、セッパつまったあげくの就活で得たのは、ファンタジー世界で、おたく文化を伝導するという仕事!? ほとんど騙された形で連れて行かれた場所... ▼もっと読む
27,ソードアート・オンライン Extra Edition（TVアニメ動画）,2014年冬アニメ,3.9,https://img.anikore.jp/images/anime/7/0/5/7705/7705.jpg?width=122&height=122&type=crop,クジラが見たいというユイのために《ALO》での水中クエストに挑むことになったキリトたち。しかしここで驚愕の事実が。意外にもリーファ……直葉は水が苦手だった。アスナたち女性陣は、現実世界のプールで... ▼もっと読む
28,ロウきゅーぶ！（TVアニメ動画）,2011年夏アニメ,3.7,https://img.anikore.jp/images/anime/9/7/2/2972/2972.jpg?width=122&height=122&type=crop,「七芝高校に入学した長谷川昴は男子バスケ部に入部するが、部長のロリコン疑惑がきっかけで部活動停止の目にあってしまう。行き場をなくし、日々所在なく過ごしていた昴だったが、叔母の強引な誘いから小学校... ▼もっと読む
29,ゼロの使い魔F [エフ]（TVアニメ動画）,2012年冬アニメ,3.7,https://img.anikore.jp/images/anime/4/3/7/3437/3437.jpg?width=122&height=122&type=crop,アーハンブラ城から無事にタバサを救出して魔法学院に戻ってきたルイズと才人たち。 あいかわらず才人はルイズに虐げられながらも健気に使い魔としてルイズのお守りをしている。 急遽、アンリエッタ女王の密... ▼もっと読む
30,きんいろモザイク（TVアニメ動画）,2013年夏アニメ,3.8,https://img.anikore.jp/images/anime/0/8/2/6082/6082.jpg?width=122&height=122&type=crop,"イギリスでホームステイをしていた忍に、帰国からしばらく経った高校1年生のある日、一通のエアメールが届く。
差出人はイギリスで出会った少女、アリス。なんと今度はアリスが日本に来るという。アリスと... ▼もっと読む"
31,彼女がフラグをおられたら（TVアニメ動画）,2014年春アニメ,3.3,https://img.anikore.jp/images/anime/8/6/3/7863/7863.jpg?width=122&height=122&type=crop,恋愛フラグ、友情フラグ、勝利フラグ、死亡フラグ。『フラグ』それは人生の岐路に立つ、大切な分岐点を示す道しるべ。ある事件以降、他人の頭に様々な『フラグ』が見えるようになった少年・旗立颯太は、その能... ▼もっと読む
32,精霊使いの剣舞（TVアニメ動画）,2014年夏アニメ,3.4,https://img.anikore.jp/images/anime/0/1/5/8015/8015.jpg?width=122&height=122&type=crop,清らかな乙女にのみ許された特権――精霊契約。ここアレイシア精霊学院では、精霊使いとして訓練を積んできた貴族の令嬢たちが集められ、エリート教育を受けていた。少年カミトは、ふとした事故から学院生の少... ▼もっと読む
33,D.Gray-man[ディーグレイマン]（TVアニメ動画）,2006年秋アニメ,3.9,https://img.anikore.jp/51T4Gc3cl2L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,舞台は仮想１９世紀、ヨーロッパ。悪性兵器AKUMA（アクマ）を用い、この世を終末へと導いていく千年伯爵の野望に立ち向い、世界救済の戦いを挑む宿命のエクソシスト、アレン・ウォーカーの活躍を描くダク... ▼もっと読む
34,ヤマノススメ（TVアニメ動画）,2013年冬アニメ,3.7,https://img.anikore.jp/images/anime/9/3/3/3933/3933.jpg?width=122&height=122&type=crop,"インドア志向で高所恐怖症のあおいと、アウトドア志向で山が好きなひなたは幼なじみ。
しばらく離れていた二人は高校で再会し、幼い頃に見た山頂の朝日をもう一度見るために登山に挑戦することを決める。
... ▼もっと読む"
35,幸腹グラフィティ（TVアニメ動画）,2015年冬アニメ,3.6,https://img.anikore.jp/images/anime/1/5/5/8155/8155.jpg?width=122&height=122&type=crop,"一人暮らしをする中学生・町子リョウ。一緒に住んでいた祖母を亡くしたあと、なぜかどんな料理も美味しいと感じられなくなってしまいます。
そんなとき、同い年のはとこ・きりんが泊まりにくることに。
... ▼もっと読む"
36,最終兵器彼女（TVアニメ動画）,2002年夏アニメ,3.5,https://img.anikore.jp/images/anime/4/6/2/462/462.jpg?width=122&height=122&type=crop,"北海道の田舎町で暮らすシュウジとちせ。
ちせは以前から興味を持っていたシュウジに度胸試しとして告白、そのぎこちない交際は交換日記から始まった。
そんなある日、謎の敵に札幌市が空襲される。攻撃... ▼もっと読む"
37,CODE：BREAKER（TVアニメ動画）,2012年秋アニメ,3.4,https://img.anikore.jp/images/anime/8/5/4/3854/3854.jpg?width=122&height=122&type=crop,"目には目を、歯には歯を、悪には――悪を。
尋常ならざる力“異能""を用い、法で裁けぬ悪人を闇に葬る者たちがいる
本当の名前を捨て過去も捨て、かりそめの日常を送る彼らは、
しかしひと... ▼もっと読む"
38,苺ましまろ（TVアニメ動画）,2005年夏アニメ,3.7,https://img.anikore.jp/images/anime/7/8/2/782/782.jpg?width=122&height=122&type=crop,"短大生の伸恵を中心に、その妹の千佳、その幼馴染の美羽、ご近所の茉莉。彼女たちはごく普通な、でもちょっとだけユニークな毎日を送っています。
ある日、いつもどおり、千佳の部屋にみんなが集合すると、... ▼もっと読む"
