,TITLE,SEASON,REVIEW_RANK,IMAGE
71,涼宮ハルヒの憂鬱（TVアニメ動画）,2006年春アニメ,4.1,https://img.anikore.jp/514cEpegXlL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
72,狼と香辛料（TVアニメ動画）,2008年冬アニメ,4.0,https://img.anikore.jp/51kEFj1W57L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
73,喰霊-零-（TVアニメ動画）,2008年秋アニメ,4.0,https://img.anikore.jp/51CxbxkapmL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
74,TARI TARI（TVアニメ動画）,2012年夏アニメ,4.1,https://img.anikore.jp/images/anime/6/7/2/3672/3672.jpg?width=122&height=122&type=crop
75,ちはやふる（TVアニメ動画）,2011年秋アニメ,4.2,https://img.anikore.jp/images/anime/2/3/1/3231/3231.jpg?width=122&height=122&type=crop
76,狼と香辛料II（TVアニメ動画）,2009年夏アニメ,4.0,https://img.anikore.jp/518rgcMVVLL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
77,GOSICK[ゴシック]（TVアニメ動画）,2011年冬アニメ,3.9,https://img.anikore.jp/images/anime/0/9/6/2096/2096.jpg?width=122&height=122&type=crop
78,COWBOY BEBOP - カウボーイビバップ（TVアニメ動画）,1998年春アニメ,4.2,https://img.anikore.jp/images/anime/2/5/8/258/258.jpg?width=122&height=122&type=crop
79,のんのんびより（TVアニメ動画）,2013年秋アニメ,4.1,https://img.anikore.jp/images/anime/6/2/0/7620/7620.jpg?width=122&height=122&type=crop
80,瀬戸の花嫁（TVアニメ動画）,2007年春アニメ,3.8,https://img.anikore.jp/images/anime/0/2/4/1024/1024.jpg?width=122&height=122&type=crop
81,東京マグニチュード8.0（TVアニメ動画）,2009年夏アニメ,3.8,https://img.anikore.jp/51l8u3RfExL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
82,ef - a tale of memories.エフ・アテールオブメモリーズ（TVアニメ動画）,2007年秋アニメ,4.0,https://img.anikore.jp/images/anime/1/0/9/1109/1109.jpg?width=122&height=122&type=crop
83,DEATH NOTE-デスノート（TVアニメ動画）,2006年秋アニメ,4.1,https://img.anikore.jp/images/anime/9/4/6/946/946.jpg?width=122&height=122&type=crop
84,残響のテロル（TVアニメ動画）,2014年夏アニメ,3.7,https://img.anikore.jp/images/anime/9/1/4/7914/7914.jpg?width=122&height=122&type=crop
85,輪るピングドラム（TVアニメ動画）,2011年夏アニメ,3.8,https://img.anikore.jp/images/anime/2/1/8/3218/3218.jpg?width=122&height=122&type=crop
86,ヨルムンガンド PERFECT ORDER（TVアニメ動画）,2012年秋アニメ,4.0,https://img.anikore.jp/images/anime/6/7/3/3673/3673.jpg?width=122&height=122&type=crop
87,十二国記（TVアニメ動画）,2002年春アニメ,4.0,https://img.anikore.jp/615yt0vEJLL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
88,境界線上のホライゾン（TVアニメ動画）,2011年秋アニメ,3.7,https://img.anikore.jp/images/anime/9/9/0/2990/2990.jpg?width=122&height=122&type=crop
89,ヒカルの碁（TVアニメ動画）,2001年秋アニメ,4.0,https://img.anikore.jp/51gMtHI5arL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
90,干物妹！うまるちゃん（TVアニメ動画）,2015年夏アニメ,3.8,https://img.anikore.jp/images/anime/9/1/1/8911/8911.jpg?width=122&height=122&type=crop
91,グリザイアの迷宮 & グリザイアの楽園（TVアニメ動画）,2015年春アニメ,3.9,https://img.anikore.jp/images/anime/9/0/0/8900/8900.jpg?width=122&height=122&type=crop
92,ソ・ラ・ノ・ヲ・ト（TVアニメ動画）,2010年冬アニメ,3.8,https://img.anikore.jp/51ej9WvqNkL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
93,山田くんと7人の魔女（TVアニメ動画）,2015年春アニメ,3.7,https://img.anikore.jp/images/anime/6/6/1/8661/8661.jpg?width=122&height=122&type=crop
94,暗殺教室（TVアニメ動画）,2015年冬アニメ,3.7,https://img.anikore.jp/images/anime/0/6/5/8065/8065.jpg?width=122&height=122&type=crop
95,ピンポン（TVアニメ動画）,2014年春アニメ,4.1,https://img.anikore.jp/images/anime/8/6/4/7864/7864.jpg?width=122&height=122&type=crop
96,WHITE ALBUM2（TVアニメ動画）,2013年秋アニメ,3.9,https://img.anikore.jp/images/anime/6/0/3/7603/7603.jpg?width=122&height=122&type=crop
97,フルーツバスケット（TVアニメ動画）,2001年夏アニメ,3.9,https://img.anikore.jp/images/anime/3/8/3/383/383.jpg?width=122&height=122&type=crop
98,天鏡のアルデラミン（TVアニメ動画）,2016年夏アニメ,3.7,https://img.anikore.jp/images/anime/1/6/3/10163/10163.jpg?width=122&height=122&type=crop
99,銀河英雄伝説（TVアニメ動画）,1990年春アニメ,4.3,https://img.anikore.jp/511dBzXNPRL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
100,ドリフターズ（TVアニメ動画）,2016年秋アニメ,3.8,https://img.anikore.jp/images/anime/4/0/4/9404/9404.jpg?width=122&height=122&type=crop
101,妹さえいればいい。（TVアニメ動画）,2017年秋アニメ,3.6,https://img.anikore.jp/images/anime/2/0/0/11200/11200.jpg?width=122&height=122&type=crop
102,クジラの子らは砂上に歌う（TVアニメ動画）,2017年秋アニメ,3.5,https://img.anikore.jp/images/anime/0/5/4/11054/11054.jpg?width=122&height=122&type=crop
103,魔法陣グルグル（TVアニメ動画）,1994年秋アニメ,3.7,https://img.anikore.jp/images/anime/2/1/2/212/212.jpg?width=122&height=122&type=crop
104,ボールルームへようこそ（TVアニメ動画）,2017年夏アニメ,3.9,https://img.anikore.jp/images/anime/0/3/7/11037/11037.jpg?width=122&height=122&type=crop
105,DEVILMAN crybaby[デビルマン クライベイビー]（Webアニメ）,2018年1月5日,3.9,https://img.anikore.jp/images/anime/4/1/2/11412/11412.jpg?width=122&height=122&type=crop
106,伊藤潤二「コレクション」（TVアニメ動画）,2018年冬アニメ,3.1,https://img.anikore.jp/images/anime/3/8/5/11385/11385.jpg?width=122&height=122&type=crop
107,アイドリッシュセブン（TVアニメ動画）,2018年冬アニメ,3.4,https://img.anikore.jp/images/anime/4/7/5/11475/11475.jpg?width=122&height=122&type=crop
108,ギルティクラウン [GUILTY CROWN]（TVアニメ動画）,2011年秋アニメ,4.1,https://img.anikore.jp/images/anime/2/6/2/3262/3262.jpg?width=122&height=122&type=crop
109,Fate／Zero - フェイトゼロ（TVアニメ動画）,2011年秋アニメ,4.2,https://img.anikore.jp/images/anime/8/5/2/2852/2852.jpg?width=122&height=122&type=crop
110,夏目友人帳（TVアニメ動画）,2008年夏アニメ,4.1,https://img.anikore.jp/images/anime/2/2/2/1222/1222.jpg?width=122&height=122&type=crop
111,東のエデン（TVアニメ動画）,2009年春アニメ,3.9,https://img.anikore.jp/51CmpTYJRbL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
112,Another（TVアニメ動画）,2012年冬アニメ,3.9,https://img.anikore.jp/images/anime/9/9/3/2993/2993.jpg?width=122&height=122&type=crop
113,電波女と青春男（TVアニメ動画）,2011年春アニメ,3.8,https://img.anikore.jp/513XYSPvWXL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
114,ひぐらしのなく頃に（TVアニメ動画）,2006年春アニメ,3.9,https://img.anikore.jp/images/anime/8/6/7/867/867.jpg?width=122&height=122&type=crop
115,伝説の勇者の伝説（TVアニメ動画）,2010年夏アニメ,3.8,https://img.anikore.jp/51gcQn3SkDL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
116,アクセルワールド（TVアニメ動画）,2012年春アニメ,3.8,https://img.anikore.jp/images/anime/4/8/5/3485/3485.jpg?width=122&height=122&type=crop
117,日常（TVアニメ動画）,2011年春アニメ,4.0,https://img.anikore.jp/images/anime/2/5/5/2255/2255.jpg?width=122&height=122&type=crop
