,TITLE,ANIME_TITLE,IMAGE,AUDIO
26,青空のナミダ,BLOOD+ OP,http://is3.mzstatic.com/image/thumb/Music7/v4/80/80/01/80800106-618c-ce2a-c3b5-2ccf0feb56c3/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music1/v4/66/48/51/6648511f-990b-62c6-3e9f-d14019460f9f/mzaf_4997642042032517524.plus.aac.p.m4a
27,紅蓮の弓矢,進撃の巨人 OP,http://is1.mzstatic.com/image/thumb/Music6/v4/5b/0c/27/5b0c273c-0d58-5410-a6bb-7cbae9694e71/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/24/62/44/2462446b-1bd7-d180-273e-6b654ae737de/mzaf_3483347302254810362.plus.aac.p.m4a
28,oath sign,Fate/Zero OP,http://is4.mzstatic.com/image/thumb/Music/v4/e7/af/ae/e7afae19-720a-7671-60f4-a6f240aca740/source/100x100bb.jpg,http://a878.phobos.apple.com/us/r30/Music6/v4/92/42/25/9242251a-e4d0-31ad-e00d-093c70534837/mzaf_7984664057922774922.plus.aac.p.m4a
29,IGNITE,ソードアート・オンラインII OP,http://is2.mzstatic.com/image/thumb/Music5/v4/dc/79/c1/dc79c1ec-ea32-4bf6-de85-565ed2e0d11a/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music3/v4/09/39/7c/09397c92-fb7a-8374-f6ba-6b6be3f91ec0/mzaf_2139415362785390981.plus.aac.p.m4a
30,Can’t you say,恋と嘘　ED,http://is4.mzstatic.com/image/thumb/Music118/v4/4c/47/dd/4c47dded-9d55-0b9a-2f3e-b4d43f651195/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/08/75/18/087518cd-9b67-47ee-ac1c-b04b754c77dc/mzaf_961343826306806858.plus.aac.p.m4a
31,ZERO!!,はたらく魔王さま! OP,http://is3.mzstatic.com/image/thumb/Music2/v4/7f/37/09/7f370902-ca57-9530-ef5c-499ab1fa8752/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview19/v4/5b/cb/ce/5bcbce33-de1d-c86b-c5d7-2a715a306f4b/mzaf_1967662581609501967.plus.aac.p.m4a
32,key plus words,Persona4 the ANIMATION OP,http://is2.mzstatic.com/image/thumb/Music/v4/29/7c/41/297c41a0-bc2c-ad8b-99d6-384c539bc30e/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/a5/f4/ae/a5f4ae3c-954d-e73d-8615-76da5b23c298/mzaf_1438701463486415507.plus.aac.p.m4a
33,曇天,銀魂 OP,http://is4.mzstatic.com/image/thumb/Music/v4/86/d9/19/86d9193f-1dbe-9d09-f580-2e1bba9c6ceb/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview62/v4/37/fe/3f/37fe3f4c-5da3-6b68-83bd-22f7003af73b/mzaf_561224106566903774.plus.aac.p.m4a
34,irony,俺の妹がこんなに可愛いわけがない OP,http://is1.mzstatic.com/image/thumb/Music/v4/ab/9c/49/ab9c4981-4e78-810d-8177-c90c95b279f9/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview19/v4/f4/77/55/f477559c-d126-b1c7-9396-8eb1de7fdb41/mzaf_7661591662391964850.plus.aac.p.m4a
35,Venus Say,ふたつのスピカ OP,http://is1.mzstatic.com/image/thumb/Music/v4/3b/61/5a/3b615a3d-2c88-a412-404b-2c7db151ea49/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/5a/19/c5/5a19c5d6-a310-7878-564c-68262ce67adf/mzaf_2077321931216568918.plus.aac.p.m4a
